,Player_ID,goals,minutes_played,Appearances,goals_90,goals_game
329,58074,0,2586,36,inf,0.0
330,58076,3,3066,49,1022.0,0.061224489795918366
331,58112,0,2423,38,inf,0.0
332,58115,0,3964,47,inf,0.0
333,58281,2,4169,57,2084.5,0.03508771929824561
334,58330,3,7023,98,2341.0,0.030612244897959183
335,58341,0,4961,56,inf,0.0
336,58345,21,4629,61,220.42857142857142,0.3442622950819672
337,58405,5,1378,26,275.6,0.19230769230769232
338,58426,3,1830,24,610.0,0.125
339,58474,0,789,10,inf,0.0
340,58497,0,2070,23,inf,0.0
341,58576,2,1686,24,843.0,0.08333333333333333
342,58774,0,411,8,inf,0.0
343,58799,11,6283,110,571.1818181818181,0.1
344,58818,4,2827,51,706.75,0.0784313725490196
345,58864,11,1100,17,100.0,0.6470588235294118
346,58874,8,7364,83,920.5,0.0963855421686747
347,58884,11,11977,163,1088.8181818181818,0.06748466257668712
348,58949,4,1612,32,403.0,0.125
349,59016,3,3096,30,1032.0,0.1
350,59248,0,1946,26,inf,0.0
351,59323,53,7393,102,139.49056603773585,0.5196078431372549
352,59343,0,556,7,inf,0.0
353,59344,10,12978,173,1297.8,0.057803468208092484
354,59349,0,5130,57,inf,0.0
355,59375,8,8257,120,1032.125,0.06666666666666667
356,59551,4,5211,87,1302.75,0.04597701149425287
357,59561,53,24309,277,458.66037735849056,0.19133574007220217
358,59783,0,169,6,inf,0.0
359,59938,1,197,3,197.0,0.3333333333333333
360,60289,0,66,1,inf,0.0
361,60410,2,4964,61,2482.0,0.03278688524590164
362,60445,4,5602,88,1400.5,0.045454545454545456
363,60542,0,5082,79,inf,0.0
364,60890,35,16020,200,457.7142857142857,0.175
365,61344,3,2012,46,670.6666666666666,0.06521739130434782
366,61401,1,191,6,191.0,0.16666666666666666
367,61464,4,2007,36,501.75,0.1111111111111111
368,61546,4,8398,105,2099.5,0.0380952380952381
369,61637,0,803,15,inf,0.0
370,61812,9,15266,182,1696.2222222222222,0.04945054945054945
371,62144,2,2883,45,1441.5,0.044444444444444446
372,62611,0,799,26,inf,0.0
373,62713,0,145,3,inf,0.0
374,62913,0,5419,70,inf,0.0
375,62920,5,15535,182,3107.0,0.027472527472527472
376,62941,0,167,3,inf,0.0
377,62945,1,10048,107,10048.0,0.009345794392523364
378,63040,3,8321,122,2773.6666666666665,0.02459016393442623
379,63056,23,7726,131,335.9130434782609,0.17557251908396945
380,63186,9,3601,55,400.1111111111111,0.16363636363636364
381,63290,5,12555,167,2511.0,0.029940119760479042
382,63463,16,17762,225,1110.125,0.07111111111111111
383,63494,2,3992,46,1996.0,0.043478260869565216
384,63689,8,5220,76,652.5,0.10526315789473684
385,63706,0,540,6,inf,0.0
386,63723,7,8448,99,1206.857142857143,0.0707070707070707
387,64000,0,6345,71,inf,0.0
388,64134,4,10618,133,2654.5,0.03007518796992481
389,64308,1,731,13,731.0,0.07692307692307693
390,64363,0,6385,78,inf,0.0
391,64399,0,9090,101,inf,0.0
392,64411,3,12821,160,4273.666666666667,0.01875
393,64484,9,2545,65,282.77777777777777,0.13846153846153847
394,64598,5,9335,107,1867.0,0.04672897196261682
395,64992,0,289,4,inf,0.0
396,65230,6,21981,272,3663.5,0.022058823529411766
397,65233,0,133,6,inf,0.0
398,65237,2,5869,70,2934.5,0.02857142857142857
399,65239,1,742,13,742.0,0.07692307692307693
400,65243,2,2378,42,1189.0,0.047619047619047616
401,65263,0,8730,96,inf,0.0
402,65278,6,1531,35,255.16666666666666,0.17142857142857143
403,65301,0,1493,29,inf,0.0
404,65318,4,14803,187,3700.75,0.0213903743315508
405,65331,5,6369,97,1273.8,0.05154639175257732
