,Player_ID,goals,assists,minutes_played,Appearances,goals_assists_per_90,goals_assists_per_game
717,137648,1,0,1473,17,0.06109979633401222,0.058823529411764705
718,137704,12,5,5475,89,0.2794520547945205,0.19101123595505617
719,138655,0,0,8,1,0.0,0.0
720,138662,0,0,892,12,0.0,0.0
721,138803,3,10,6277,116,0.18639477457384102,0.11206896551724138
722,138927,3,29,15770,192,0.18262523779327838,0.16666666666666666
723,138935,4,3,8975,127,0.0701949860724234,0.05511811023622047
724,139336,1,1,9187,111,0.019592903015130076,0.018018018018018018
725,139396,2,1,1449,32,0.18633540372670807,0.09375
726,139434,1,4,5654,76,0.07958967102935975,0.06578947368421052
727,139435,8,10,6282,73,0.2578796561604585,0.2465753424657534
728,139449,0,0,129,3,0.0,0.0
729,139895,5,7,13199,189,0.08182438063489658,0.06349206349206349
730,139915,3,3,822,23,0.6569343065693432,0.2608695652173913
731,140082,0,0,267,6,0.0,0.0
732,140436,8,2,3247,72,0.2771789344009855,0.1388888888888889
733,140776,31,29,10478,160,0.5153655277724757,0.375
734,140808,0,0,90,1,0.0,0.0
735,141834,17,15,6101,140,0.4720537616784134,0.22857142857142856
736,141835,12,5,4048,65,0.37796442687747034,0.26153846153846155
737,142021,14,17,14632,176,0.19067796610169493,0.17613636363636365
738,142023,0,0,552,14,0.0,0.0
739,142027,2,7,2914,73,0.2779684282772821,0.1232876712328767
740,142031,0,1,4661,58,0.01930916112422227,0.017241379310344827
741,142033,0,0,180,2,0.0,0.0
742,142419,3,2,9071,106,0.04960864292801234,0.04716981132075472
743,142920,0,1,318,14,0.2830188679245283,0.07142857142857142
744,143029,1,0,3067,32,0.029344636452559504,0.03125
745,144128,0,0,3420,38,0.0,0.0
746,145707,3,7,3534,41,0.2546689303904924,0.24390243902439024
747,145769,24,3,6537,130,0.3717301514456173,0.2076923076923077
748,145866,0,0,24,2,0.0,0.0
749,145918,1,0,286,6,0.3146853146853147,0.16666666666666666
750,146227,0,2,4905,56,0.03669724770642202,0.03571428571428571
751,146799,0,0,60,1,0.0,0.0
752,146854,38,17,6189,91,0.7998061076102764,0.6043956043956044
753,147078,0,1,1215,17,0.07407407407407407,0.058823529411764705
754,148004,0,0,1927,23,0.0,0.0
755,148355,0,1,3953,57,0.022767518340500885,0.017543859649122806
756,148396,0,0,17,1,0.0,0.0
757,148666,1,2,6194,75,0.043590571520826606,0.04
758,148928,26,14,17483,228,0.20591431676485727,0.17543859649122806
