,Player_ID,goals,assists,minutes_played,Appearances,goals_assists_per_game
513,77826,3,5,2619,47,0.1702127659574468
514,77932,0,0,55,4,0.0
515,79352,0,1,671,30,0.03333333333333333
516,79422,0,0,9360,104,0.0
517,79470,0,0,293,5,0.0
518,79642,1,1,1128,25,0.08
519,79893,0,0,78,4,0.0
520,80293,8,3,14660,169,0.0650887573964497
521,80444,16,10,4483,76,0.34210526315789475
522,81532,15,6,8411,107,0.19626168224299065
523,81743,0,1,1456,24,0.041666666666666664
524,81796,0,0,8,1,0.0
525,81988,34,23,12447,187,0.3048128342245989
526,81998,0,4,894,19,0.21052631578947367
527,81999,44,12,10381,130,0.4307692307692308
528,82048,14,5,2792,53,0.3584905660377358
529,82503,3,0,5797,68,0.04411764705882353
530,83368,0,0,767,11,0.0
531,83895,1,3,2626,40,0.1
532,84085,1,0,4288,52,0.019230769230769232
533,85258,1,7,15030,187,0.0427807486631016
534,85288,29,37,11481,214,0.308411214953271
535,85289,0,0,4816,56,0.0
536,85295,1,2,3688,35,0.08571428571428572
537,85324,25,4,5005,83,0.3493975903614458
538,85357,0,0,58,4,0.0
539,85370,6,30,12904,188,0.19148936170212766
540,85372,0,1,1872,28,0.03571428571428571
541,85383,14,5,6498,131,0.1450381679389313
542,85500,1,0,234,10,0.1
543,86175,1,2,286,4,0.75
544,87469,3,13,10441,137,0.11678832116788321
545,88103,29,28,5411,85,0.6705882352941176
546,88490,11,17,8853,144,0.19444444444444445
547,88590,7,1,6315,75,0.10666666666666667
548,89297,1,0,4071,58,0.017241379310344827
549,89313,2,4,7354,91,0.06593406593406594
550,89318,0,0,1165,15,0.0
551,89473,3,1,3436,45,0.08888888888888889
552,89618,0,0,3330,37,0.0
553,89650,0,1,670,14,0.07142857142857142
554,89726,0,0,286,4,0.0
555,89733,7,3,4332,62,0.16129032258064516
556,90024,2,1,788,25,0.12
557,90451,0,0,3458,53,0.0
558,90660,0,1,526,14,0.07142857142857142
559,90681,2,0,3640,45,0.044444444444444446
560,91763,8,7,7380,118,0.1271186440677966
561,91849,2,1,1701,26,0.11538461538461539
562,91885,0,0,630,7,0.0
563,91931,0,0,270,3,0.0
564,92813,0,0,287,5,0.0
565,92947,2,3,15704,196,0.025510204081632654
566,93142,0,0,2726,41,0.0
567,93330,0,0,1807,21,0.0
568,93759,0,1,1310,16,0.0625
569,93795,3,0,1064,38,0.07894736842105263
570,93935,7,12,12621,166,0.1144578313253012
571,93936,41,7,12132,186,0.25806451612903225
572,94304,1,2,2004,26,0.11538461538461539
573,94308,1,0,12256,136,0.007352941176470588
574,94414,0,0,312,6,0.0
575,94783,0,0,2203,26,0.0
576,94807,0,0,917,11,0.0
577,95438,5,3,1447,25,0.32
578,95480,1,1,1396,18,0.1111111111111111
579,95483,1,2,1319,22,0.13636363636363635
580,95641,6,6,10213,154,0.07792207792207792
581,95732,17,11,5408,87,0.3218390804597701
582,95736,0,0,2520,28,0.0
583,95810,0,10,5436,68,0.14705882352941177
584,95963,7,2,7231,94,0.09574468085106383
585,96454,0,1,671,12,0.08333333333333333
