,player_pretty_name,competition_id,goals,assists,minutes_played,yellow_cards,red_cards,player_club_id
1061,Manu Trigueros,ES1,20,22,18116,47,1,270900
1062,Manu Vallejo,ES1,8,2,1869,5,0,101601
1063,Manucho,ES1,9,2,2545,8,0,23855
1064,Manuel Iturra,ES1,0,1,4405,14,1,530882
1065,Manuel Pablo,ES1,0,0,519,1,0,7176
1066,Marc Andre Ter Stegen,ES1,0,2,19982,6,0,29213
1067,Marc Bartra,ES1,9,6,12099,27,0,21687
1068,Marc Cardona,ES1,4,3,1302,2,0,32350
1069,Marc Cucurella,ES1,5,10,8877,22,0,325698
1070,Marc Muniesa,ES1,0,1,2532,8,0,394272
1071,Marc Navarro,ES1,3,2,2114,4,0,27110
1072,Marc Pedraza,ES1,0,0,131,0,0,711
1073,Marc Pubill,ES1,0,1,501,1,0,37048
1074,Marc Roca,ES1,3,4,7711,21,0,73542
1075,Marcelo,ES1,11,37,14672,27,1,78584
1076,Marcelo Diaz,ES1,1,3,2626,8,0,37600
1077,Marcelo Saracchi,ES1,0,1,186,2,0,13472
1078,Marco Andreolli,ES1,0,0,554,2,0,2576
1079,Marco Asensio,ES1,32,29,11443,11,0,91992
1080,Marcos Acuna,ES1,2,5,4964,17,1,24288
1081,Marcos Alonso,ES1,0,0,12,0,0,131
1082,Marcos Andre,ES1,6,5,2224,7,0,44084
1083,Marcos Angeleri,ES1,0,0,2991,8,1,37940
1084,Marcos Llorente,ES1,15,19,11086,22,0,45952
1085,Mariano,ES1,0,5,4327,14,0,19872
1086,Mariano Barbosa,ES1,0,0,1467,0,0,16486
1087,Mariano Diaz,ES1,7,2,1441,5,0,21318
1088,Mario Arques,ES1,0,0,4,0,0,1531
1089,Mario Fernandez,ES1,0,0,585,3,0,2317
1090,Mario Gaspar,ES1,8,18,18790,48,0,238350
1091,Mario Gonzalez,ES1,0,0,39,0,0,19876
1092,Mario Hermoso,ES1,8,2,10525,29,2,39557
1093,Mario Hernandez,ES1,1,0,394,3,0,3303
1094,Mario Mandzukic,ES1,12,5,1941,10,0,364
1095,Mario Pasalic,ES1,3,0,2224,5,0,47461
1096,Mario Rodriguez,ES1,0,0,1,0,0,1108
1097,Mario Suarez,ES1,6,0,4364,19,0,32932
1098,Markel Areitio,ES1,0,0,45,0,0,1533
1099,Markel Bergara,ES1,6,1,5352,24,0,123443
1100,Markel Susaeta,ES1,9,21,8477,15,0,87561
1101,Marko Dmitrović,ES1,1,0,12256,7,0,201866
1102,Marko Livaja,ES1,5,3,1447,12,1,11800
1103,Marko Milovanovic,ES1,0,0,14,1,0,6604
1104,Marko Rog,ES1,0,0,354,5,0,3680
1105,Marlon,ES1,0,0,180,0,0,603
1106,Marlos Moreno,ES1,0,0,820,0,0,40788
1107,Martin Aguirregabiria,ES1,1,8,9132,18,1,150708
1108,Martin Braithwaite,ES1,17,11,5408,12,0,61398
1109,Martin Caceres,ES1,0,0,669,2,0,33680
1110,Martin Demichelis,ES1,0,0,773,3,0,12268
1111,Martin Hongla,ES1,0,0,794,3,0,167950
1112,Martin Mantovani,ES1,4,1,4507,14,0,105446
1113,Martin Merquelanz,ES1,0,1,723,0,0,11002
1114,Martin Montoya,ES1,2,7,6939,21,1,61444
1115,Martin Odegaard,ES1,4,6,2796,3,0,24455
1116,Martin Valjent,ES1,0,0,6907,12,0,18486
1117,Martin Zubimendi,ES1,2,2,5577,14,0,61939
1118,Mateo Garcia,ES1,2,0,719,0,0,8968
1119,Mateo Kovacic,ES1,1,6,3707,8,1,30514
1120,Mateo Musacchio,ES1,4,2,4211,10,0,52500
1121,Matheus Cunha,ES1,6,6,1128,3,0,442
1122,Matheus Fernandes,ES1,0,0,166,0,0,1098
1123,Mathew Ryan,ES1,0,0,1170,0,0,12533
1124,Mathias Jensen,ES1,0,0,235,0,0,5640
1125,Mathias Olivera,ES1,2,5,8411,29,0,385736
1126,Mathieu Flamini,ES1,0,0,932,8,0,66762
1127,Matias Aguirregaray,ES1,0,0,1155,3,0,7080
1128,Matias Arezo,ES1,0,0,156,1,0,134360
1129,Matias Dituro,ES1,0,0,3420,1,0,35720
1130,Matias Kranevitter,ES1,0,0,1610,7,0,7832
1131,Matias Nahuel,ES1,0,1,1399,6,1,23550
1132,Matias Vargas,ES1,0,3,1019,1,0,14994
1133,Matija Nastasić,ES1,0,0,90,1,0,237
1134,Matt Miazga,ES1,0,0,831,2,0,12188
1135,Matthew Hoppe,ES1,0,1,128,0,0,1185
1136,Matthieu Saunier,ES1,0,1,1310,4,0,268720
1137,Mauricio Cuero,ES1,0,1,480,1,0,43784
1138,Mauricio Lemos,ES1,5,0,3848,17,0,23128
1139,Mauro Arambarri,ES1,6,11,14001,55,0,611985
1140,Mauro Dos Santos,ES1,1,1,6727,21,1,177560
1141,Maxi Gomez,ES1,52,20,12867,36,1,167444
1142,Maxime Gonalons,ES1,0,3,5082,20,1,1162535
1143,Maxime Lestienne,ES1,0,1,671,1,0,13008
1144,Maximilian Wober,ES1,0,0,536,2,0,2576
1145,Mehdi Carcela Gonzalez,ES1,5,1,1753,6,0,369490
1146,Mehdi Lacen,ES1,2,2,6389,18,0,257345
1147,Memphis Depay,ES1,13,2,1964,3,0,3930
1148,Merveil Ndockyt,ES1,0,0,62,1,0,16358
1149,Michael Ciani,ES1,0,0,188,0,0,2142
1150,Michael Krohn Dehli,ES1,3,9,6192,12,0,59163
1151,Michael Olunga,ES1,3,1,427,0,0,172494
1152,Michael Santos,ES1,4,3,1290,7,0,35080
1153,Michel Herrero,ES1,5,4,6369,22,0,72275
1154,Michel Macedo,ES1,2,6,5429,16,0,71244
1155,Michel Madera,ES1,0,0,90,0,0,3709
1156,Michy Batshuayi,ES1,1,0,519,3,0,15735
1157,Mickael Malsa,ES1,2,2,3486,12,0,205814
1158,Miguel Angel Guerrero,ES1,12,5,5475,8,0,138408
1159,Miguel Angel Moya,ES1,0,0,6124,1,0,22941
1160,Miguel Atienza,ES1,0,0,837,1,0,18396
1161,Miguel Baeza,ES1,1,0,532,0,0,20680
1162,Miguel Cardoso,ES1,0,1,42,0,0,2691
1163,Miguel Cifuentes,ES1,0,0,556,1,0,19009
1164,Miguel De La Fuente,ES1,1,2,1069,3,0,29752
1165,Miguel De Las Cuevas,ES1,0,1,1797,3,0,9268
1166,Miguel Flano,ES1,1,0,1035,3,0,3972
1167,Miguel Gutierrez,ES1,0,4,1023,2,0,77688
1168,Miguel Layun,ES1,2,1,1686,5,0,14288
1169,Miguel Llambrich,ES1,0,0,613,1,0,9828
1170,Miguel Lopes,ES1,0,1,1946,10,0,436670
1171,Miguel Munoz,ES1,0,0,201,1,0,11127
1172,Miguel Olavide,ES1,1,0,488,3,0,4634
1173,Miguel Rubio,ES1,0,0,28,0,0,472
1174,Miguel Torres,ES1,0,3,5374,20,0,74796
1175,Mike Havenaar,ES1,0,0,293,1,0,4965
1176,Mikel Arruabarrena,ES1,10,3,2611,10,0,61320
1177,Mikel Balenziaga,ES1,1,7,15030,22,1,116127
1178,Mikel Gonzalez,ES1,0,0,3471,8,1,29964
1179,Mikel Merino,ES1,13,16,10772,34,0,89211
1180,Mikel Oyarzabal,ES1,63,40,17336,12,1,152544
1181,Mikel Rico,ES1,6,8,7575,13,1,228588
1182,Mikel Saizar,ES1,0,0,540,0,0,5958
1183,Mikel San Jose,ES1,12,8,11726,40,1,102465
1184,Mikel Vesga,ES1,5,6,9316,33,0,139165
1185,Mikel Villanueva,ES1,0,0,1264,4,0,16260
1186,Miku Fedor,ES1,11,4,1771,4,0,10643
1187,Miquel Parera,ES1,0,0,90,0,0,237
1188,Miralem Pjanic,ES1,0,0,620,1,0,2489
1189,Miranda,ES1,3,1,2025,8,1,299
1190,Modibo Diakite,ES1,0,0,180,0,0,1794
1191,Modibo Sagnan,ES1,0,0,619,3,0,10896
1192,Mohamed Ali Cho,ES1,0,2,225,1,0,4086
1193,Mohamed Sissoko,ES1,0,0,1088,4,0,70728
1194,Mohammed Fatau,ES1,0,0,705,3,0,3670
1195,Mohammed Salisu,ES1,1,1,2726,4,0,11346
1196,Moi Delgado,ES1,0,0,270,1,0,1098
1197,Moi Gomez,ES1,21,31,14172,22,0,478720
1198,Momo,ES1,3,4,3301,10,0,27848
1199,Momo Mbaye,ES1,0,0,90,0,0,2687
1200,Monchu,ES1,1,0,342,1,0,2196
1201,Moses Simon,ES1,1,1,779,1,0,63992
1202,Mouctar Diakhaby,ES1,4,2,7566,30,1,109096
1203,Moussa Dembele,ES1,0,0,95,0,0,65
1204,Moussa Wague,ES1,0,0,90,0,0,131
1205,Mubarak Wakaso,ES1,3,3,5843,47,0,267313
1206,Mujaid Sadick,ES1,0,0,105,0,0,1946
1207,Munas Dabbur,ES1,0,0,24,0,0,736
1208,Munir El Haddadi,ES1,37,18,9639,23,0,114967
1209,Myrto Uzuni,ES1,1,1,857,4,0,251925
1210,Nabil El Zhar,ES1,13,11,6985,11,0,165404
1211,Nabil Fekir,ES1,18,23,8350,24,2,15450
1212,Nabil Ghilas,ES1,7,1,3110,2,0,94171
1213,Nacho Cases,ES1,3,1,3436,17,1,110160
1214,Nacho Fernandez,ES1,11,4,11977,44,0,68970
1215,Nacho Gil,ES1,0,1,961,1,0,15059
1216,Nacho Martinez,ES1,1,7,9507,27,1,42491
1217,Nacho Monreal,ES1,3,1,4474,4,0,37455
1218,Nacho Monsalve,ES1,0,0,90,0,0,13
1219,Nacho Vidal,ES1,1,1,8403,26,0,42098
1220,Nahuel Molina,ES1,0,0,270,0,1,39
1221,Nahuel Tenaglia,ES1,0,0,1072,2,0,15512
1222,Nais Djouahra,ES1,0,1,242,0,0,9157
1223,Naldo,ES1,1,2,6194,18,0,143400
1224,Nani,ES1,5,8,1846,6,0,26225
1225,Nano Mesa,ES1,1,0,431,1,0,39510
1226,Nauzet Aleman,ES1,0,0,241,0,0,4720
1227,Nauzet Perez,ES1,0,0,1170,1,0,4303
1228,Nehuen Perez,ES1,0,0,736,4,0,235130
1229,Nelson Semedo,ES1,2,6,5190,7,0,10742
1230,Nemanja Gudelj,ES1,0,0,3581,20,0,29072
1231,Nemanja Maksimović,ES1,5,2,12669,20,0,560958
1232,Nemanja Radoja,ES1,2,4,11307,23,0,330388
1233,Nenad Krsticic,ES1,2,0,747,3,0,15512
1234,Nereo Champagne,ES1,0,0,540,1,0,7464
1235,Nestor Araujo,ES1,4,2,10618,22,0,125020
1236,Nestor Diaz,ES1,0,0,4,0,0,940
1237,Neto,ES1,0,0,7110,4,0,71855
1238,Neymar,ES1,59,34,8280,19,1,12707
1239,Nico Gonzalez,ES1,3,1,1325,6,0,9831
1240,Nico Melamed,ES1,1,1,1203,5,0,24990
1241,Nico Serrano,ES1,1,0,307,0,0,8694
1242,Nico Williams,ES1,2,2,1715,4,0,24840
1243,Nicola Sansone,ES1,14,5,2792,9,0,55650
1244,Nicolas Fernandez Mercau,ES1,0,0,127,1,0,3062
1245,Nicolas Gaitan,ES1,3,2,1236,1,0,377
1246,Nicolas Jackson,ES1,1,1,411,1,0,6300
1247,Nicolas Lopez,ES1,0,0,153,0,0,134360
1248,Nicolas Otamendi,ES1,6,0,3098,9,1,36715
1249,Nicolas Pareja,ES1,2,2,4972,15,1,22080
1250,Nikola Kalinic,ES1,2,0,638,3,0,221
1251,Nikola Maras,ES1,0,0,1040,4,0,5872
1252,Nikola Vujadinovic,ES1,0,0,789,0,0,3310
1253,Nikola Vukcevic,ES1,0,3,3172,21,0,218920
1254,Nikolaos Karabelas,ES1,0,1,1038,7,0,50520
1255,Nili Perdomo,ES1,0,0,318,0,0,3776
1256,Nino,ES1,0,0,271,1,0,24496
1257,Njegos Petrovic,ES1,0,1,916,5,0,251925
1258,Nolito,ES1,43,33,12329,33,0,149632
1259,Nordin Amrabat,ES1,8,10,4679,19,1,85016
1260,Ognjen Vranjes,ES1,0,0,917,8,0,26928
1261,Oier Olazabal,ES1,0,0,6032,4,0,398325
1262,Oier Sanjurjo,ES1,3,5,8321,36,1,40382
1263,Oier Zarraga,ES1,1,0,1342,5,0,24840
1264,Oihan Sancet,ES1,11,7,3619,6,0,47942
1265,Okay Yokuslu,ES1,2,2,5230,20,1,112239
1266,Ola John,ES1,0,1,347,0,0,9867
1267,Olarenwaju Kayode,ES1,0,1,376,2,0,147852
1268,Oliver Burke,ES1,1,2,1421,2,0,34348
1269,Oliver Torres,ES1,7,11,5104,11,0,33761
1270,Omar Alderete,ES1,2,0,2410,15,0,30421
1271,Omar Mascarell,ES1,0,1,4661,12,0,120295
1272,Omar Ramos,ES1,0,3,2423,7,0,47272
1273,Omenuke Mfulu,ES1,0,0,787,4,0,30620
1274,Omer Atzili,ES1,0,0,316,0,0,151155
1275,Orbelin Pineda,ES1,0,0,93,0,0,6580
1276,Oriol Riera,ES1,10,2,3767,9,0,45853
1277,Oriol Romeu,ES1,1,0,270,2,0,36963
1278,Oscar Clemente,ES1,0,0,3,0,0,1533
1279,Oscar De Marcos,ES1,7,21,16359,35,1,132273
1280,Oscar Duarte,ES1,4,0,8288,17,0,238494
1281,Oscar Gil,ES1,0,2,2133,10,0,19278
1282,Oscar Melendo,ES1,0,6,5090,4,0,77807
1283,Oscar Mingueza,ES1,2,3,2800,6,0,7906
1284,Oscar Pinchi,ES1,0,0,1,0,0,472
1285,Oscar Plano,ES1,12,14,8006,16,1,40626
1286,Oscar Rodriguez,ES1,14,7,6662,16,1,158754
1287,Oscar Romero,ES1,0,1,776,3,0,19944
1288,Oscar Trejo,ES1,5,14,4250,23,0,23488
1289,Oscar Valentin,ES1,0,0,2929,11,0,15047
1290,Ousmane Dembele,ES1,21,29,6550,11,1,14148
1291,Oussama Idrissi,ES1,1,2,1060,3,0,35188
1292,Oussama Tannane,ES1,0,0,562,1,0,4720
1293,Pablo Chavarria,ES1,0,0,199,1,0,3081
1294,Pablo De Blasis,ES1,4,3,3108,4,1,82782
1295,Pablo Fernandez,ES1,0,0,20,0,0,3129
1296,Pablo Fornals,ES1,12,17,9072,15,0,137456
1297,Pablo Hernandez,ES1,11,11,9297,39,0,120829
1298,Pablo Hervias,ES1,2,7,2914,3,0,34944
1299,Pablo Ibanez,ES1,0,0,22,0,0,993
1300,Pablo Insua,ES1,1,0,5492,24,0,212065
1301,Pablo Maffeo,ES1,3,10,8106,27,0,550260
1302,Pablo Martinez,ES1,0,0,29,0,0,12208
1303,Pablo Perez,ES1,0,1,746,4,0,44064
1304,Pablo Piatti,ES1,20,21,8256,15,0,139752
1305,Pablo Sarabia,ES1,36,37,12398,47,0,281962
1306,Paco Alcacer,ES1,45,27,9497,7,1,136030
1307,Paco Montanes,ES1,1,1,1342,3,0,22848
1308,Panagiotis Kone,ES1,0,0,42,0,0,33590
1309,Pape Cheikh,ES1,1,1,1214,9,0,35720
1310,Pape Diop,ES1,6,4,13083,62,1,264332
1311,Papu Gomez,ES1,8,3,2967,5,0,19136
1312,Pathe Ciss,ES1,3,1,1514,8,0,13579
1313,Patrick Cutrone,ES1,0,0,101,0,0,7343
1314,Patrick Ebert,ES1,0,0,560,3,1,3303
1315,Patrick Ekeng,ES1,1,1,752,3,1,13902
1316,Patrick Roberts,ES1,0,0,594,0,0,234099
1317,Patrick Twumasi,ES1,0,0,159,2,0,12188
1318,Pau Lopez,ES1,0,0,8870,9,0,52788
1319,Pau Torres,ES1,9,5,9388,14,0,113400
1320,Paul Akouokou,ES1,0,0,920,7,1,3150
1321,Paul Baysse,ES1,1,0,1238,1,0,16260
1322,Paulinho,ES1,9,3,1939,2,0,4454
1323,Paulino De La Fuente,ES1,0,0,73,0,0,2061
1324,Paulo Gazzaniga,ES1,0,0,720,3,0,12248
1325,Paulo Oliveira,ES1,1,1,9187,18,0,170163
