club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
5724,randers-fc,Randers Fc,DK1,12.15,24,25.4,11,45.8,2,Cepheus Park Randers,10300,£-335Th.,Thomas Thomasberg,https://www.transfermarkt.co.uk/randers-fc/startseite/verein/5724
12321,fc-girona,Fc Girona,ES1,82.44,26,25.8,9,34.6,1,Municipal de Montilivi,11286,£-4.05m,Míchel,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321
714,espanyol-barcelona,Espanyol Barcelona,ES1,82.98,21,26.4,5,23.8,3,RCDE Stadium,40500,+£6.66m,Diego Martínez,https://www.transfermarkt.co.uk/espanyol-barcelona/startseite/verein/714
331,ca-osasuna,Ca Osasuna,ES1,111.6,24,27.6,5,20.8,2,El Sadar,23576,£-1.80m,Jagoba Arrasate,https://www.transfermarkt.co.uk/ca-osasuna/startseite/verein/331
89,1-fc-union-berlin,1 Fc Union Berlin,L1,93.87,29,26.6,13,44.8,8,Stadion An der Alten Försterei,22012,+£9.83m,Urs Fischer,https://www.transfermarkt.co.uk/1-fc-union-berlin/startseite/verein/89
3709,fc-getafe,Fc Getafe,ES1,129.87,24,27.1,12,50.0,9,Coliseum Alfonso Pérez,16800,£-675Th.,Quique Sánchez Flores,https://www.transfermarkt.co.uk/fc-getafe/startseite/verein/3709
1049,fc-valencia,Fc Valencia,ES1,213.03,24,23.9,14,58.3,9,Mestalla,48600,+£37.89m,Gennaro Gattuso,https://www.transfermarkt.co.uk/fc-valencia/startseite/verein/1049
940,celta-vigo,Celta Vigo,ES1,115.83,22,26.0,9,40.9,4,Abanca Balaídos,29000,£-3.60m,Eduardo Coudet,https://www.transfermarkt.co.uk/celta-vigo/startseite/verein/940
621,athletic-bilbao,Athletic Bilbao,ES1,213.3,26,27.1,1,3.8,4,San Mamés,53289,+-0,Ernesto Valverde,https://www.transfermarkt.co.uk/athletic-bilbao/startseite/verein/621
1075,sc-braga,Sc Braga,PO1,103.23,28,24.5,16,57.1,4,Estádio Municipal de Braga,30286,+£14.58m,Artur Jorge,https://www.transfermarkt.co.uk/sc-braga/startseite/verein/1075
82,vfl-wolfsburg,Vfl Wolfsburg,L1,192.06,28,24.6,16,57.1,11,Volkswagen Arena,30000,£-11.75m,Niko Kovac,https://www.transfermarkt.co.uk/vfl-wolfsburg/startseite/verein/82
1050,fc-villarreal,Fc Villarreal,ES1,324.18,25,27.8,11,44.0,10,La Cerámica,23500,+£12.71m,Unai Emery,https://www.transfermarkt.co.uk/fc-villarreal/startseite/verein/1050
13,atletico-madrid,Atletico Madrid,ES1,550.35,22,27.8,16,72.7,18,Civitas Metropolitano,68456,£-17.60m,Diego Simeone,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13
131,fc-barcelona,Fc Barcelona,ES1,732.33,25,25.4,10,40.0,20,Spotify Camp Nou,99354,£-106.20m,Xavi,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131
366,real-valladolid,Real Valladolid,ES1,58.5,24,27.8,9,37.5,3,Nuevo José Zorrilla,27618,£-3.87m,Pacheta,https://www.transfermarkt.co.uk/real-valladolid/startseite/verein/366
14589,fk-orenburg,Fk Orenburg,RU1,13.88,27,24.8,12,44.4,3,Gazovik,10046,£-3.59m,Marcel Licka,https://www.transfermarkt.co.uk/fk-orenburg/startseite/verein/14589
1186,torpedo-moskau,Torpedo Moskau,RU1,14.94,28,26.9,10,35.7,3,Luzhniki Stadium,81000,£-1.55m,Nikolay Kovardaev,https://www.transfermarkt.co.uk/torpedo-moskau/startseite/verein/1186
